asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B08D91FV4R,"Metal Shower Curtain Hooks，Set of 12 Rings，Rust Resistant S Shaped Hooks Hangers for Kitchen Utensils, Clothing, Towels, etc. (Black)",https://m.media-amazon.com/images/I/61Zl5uq0s+L._AC_UL320_.jpg,https://www.amazon.com/dp/B08D91FV4R,4.7,0,6.99,7.65,163,False,2000
B0B9JPWSC5,"iHaHa Fire Truck Toys for 1 2 3 4 5 6 Years Old Boys Toddler, 5 in 1 Kids Carrier Toy Birthday, Car Friction Power Toys with Light Sound",https://m.media-amazon.com/images/I/81nq8H2IlyL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B9JPWSC5,3.9,1621,26.99,0.0,270,False,600
B0BSRFLM1P,"LEGO DUPLO Town Recycling Truck 10987 Building Toy Set, Learn Through Play with This STEM Creative Birthday Gift for Toddlers, Boys, Girls Ages 2+, Comes with 3 Sorting Bins for Recycling",https://m.media-amazon.com/images/I/81ZYY0YexRL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BSRFLM1P,5.0,4,19.99,0.0,270,False,0
B0BJ2G7XZY,"bravokids LCD Writing Tablet for Kids, 8.5 Inch Toddler Doodle Board Drawing Tablet, Educational and Learning Toys Unicorn Toys, Christmas Birthday Gifts for 3 4 5 6 7 Year Old Girls Boys (Purple)",https://m.media-amazon.com/images/I/71KE2YR41zL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BJ2G7XZY,4.6,287,18.99,26.99,270,False,0
B0BGLTYW59,"Magnetic Tiles Kids Toys STEM Magnet Toys for Toddler Magnetic Blocks Building Toys Preschool Learning Sensory Montessori Toys for 3+ Year Old Boys and Girls, Safe Creativity Toddler Kids Toys",https://m.media-amazon.com/images/I/81HEynVTL3L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BGLTYW59,4.8,916,19.99,34.99,270,False,9000
B0BK98XBVM,"yiyisibao Magnet Toys for 3 Year Old Boys & Girls, Magnetic Blocks STEM Learning Educational Building Blocks for Kids Ages 4-8, Toddler Toys 40 PCS Montessori Toys for 2 Year Old Boys",https://m.media-amazon.com/images/I/71Xycvf4kyL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BK98XBVM,4.6,27,19.99,0.0,270,False,300
B08FQX6RNJ,"Drum Set for Kids with 2 Drum Sticks and Microphone, Musical Toys Gift for Toddlers…",https://m.media-amazon.com/images/I/71NyvEnFI7L._AC_UL320_.jpg,https://www.amazon.com/dp/B08FQX6RNJ,4.3,1066,64.99,0.0,270,False,200
B09QQ5WPVM,"Kiddiworld Dinosaur Toys for 3 4 5 Year Old Boys Gifts, Dinosaurs Toys for Kids 3-5-7, Dino Figures Activity Play Mat Christmas Birthday Gifts for Girls Toddler Toys Age 2-4",https://m.media-amazon.com/images/I/81nJriec0SL._AC_UL320_.jpg,https://www.amazon.com/dp/B09QQ5WPVM,4.6,1481,25.99,35.99,270,False,3000
B01COSEDKS,VTech Drill and Learn Toolbox,https://m.media-amazon.com/images/I/71p8G5z0YSL._AC_UL320_.jpg,https://www.amazon.com/dp/B01COSEDKS,4.7,14089,24.99,0.0,270,False,2000
B0B2RF8T4G,"FNJO Magnetic Tiles, 100PCS Building Blocks, Magnets Building Set, STEM Toys Christmas Toy Gift for Kids Boys and Girls",https://m.media-amazon.com/images/I/81vKBSNHAcL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B2RF8T4G,4.8,1150,49.99,0.0,270,False,0
